"Years","OFL","ABC","ACL","Landings","Total Dead"
2007,"fill_in","fill_in","fill_in","2,345.68","2,404.36"
2008,"fill_in","fill_in","fill_in","2,129.76","2,179.81"
2009,"fill_in","fill_in","fill_in","2,208.75","2,329.18"
2010,"fill_in","fill_in","fill_in","754.65","867.34"
2011,"fill_in","fill_in","fill_in","767.72","791.41"
2012,"fill_in","fill_in","fill_in","1,135.49","1,159.35"
2013,"fill_in","fill_in","fill_in","1,935.94","1,972.54"
2014,"fill_in","fill_in","fill_in","2,372.65","2,397.77"
2015,"fill_in","fill_in","fill_in","2,686.02","2,726.88"
2016,"fill_in","fill_in","fill_in","2,505.59","2,542.80"
2017,"fill_in","fill_in","fill_in","3,007.68","3,049.96"
2018,"fill_in","fill_in","fill_in","2,839.98","2,882.12"
2019,"fill_in","fill_in","fill_in","NA","NA"
