"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
" Years","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1-SPR","0.81","0.80","0.82","0.62","0.55","0.57","0.63","0.63","0.64","0.62","0.65","0.65","NA"
"Exploitation_Rate","0.28","0.26","0.27","0.09","0.06","0.07","0.11","0.13","0.14","0.13","0.16","0.15","NA"
"Age 3+ Biomass (mt)","8,638","8,227","8,610","9,487","12,727","15,603","17,807","18,973","19,749","19,716","19,637","18,919","18,265"
"Spawning Biomass (mt)","4,222","3,906","3,681","3,494","4,414","5,904","7,751","9,284","10,202","10,439","10,531","10,213","9,867"
"95% Confidence Interval","3,736–4,708","3,397–4,415","3,125–4,236","2,845–4,143","3,606–5,222","4,858–6,950","6,410–9,091","7,682–10,886","8,441–11,962","8,593–12,284","8,606–12,457","8,186–12,240","7,682–12,052"
"Recruitment","25,131","34,665","15,169","11,740","13,434","19,781","12,763","13,826","13,751","13,924","15,071","17,012","16,935"
"95% Confidence Interval","16,788–37,621","23,389–51,376","9,722–23,670","7,281–18,929","8,205–21,994","12,473–31,372","7,331–22,221","7,883–24,251","7,464–25,334","6,927–27,992","6,851–33,154","7,437–38,914","7,409–38,710"
"Depletion (%)","13.8","12.8","12.0","11.4","14.4","19.3","25.4","30.4","33.4","34.2","34.5","33.4","32.3"
"95% Confidence Interval","10.1–17.6","9.2–16.4","8.4–15.6","7.7–15.2","9.8–19.1","13.2–25.5","17.4–33.3","20.9–39.8","23.1–43.6","23.7–44.6","24.0–44.9","23.1–43.7","21.9–42.6"
