Year,Obs,SE,Obs,SE,Obs,SE,Obs,SE
1979,34135,0.25,-,-,-,-,-,-
1985,16675,0.18,-,-,-,-,-,-
1996,-,-,6472,0.29,-,-,-,-
1997,-,-,2965,0.43,-,-,-,-
1999,-,-,19063,0.48,6472,0.45,-,-
2000,-,-,4438,0.50,2965,0.48,-,-
2001,-,-,14570,0.69,19063,0.40,-,-
2002,-,-,-,-,4438,0.45,-,-
2003,-,-,-,-,-,-,21055,0.36
2004,-,-,-,-,-,-,4623,0.55
2005,-,-,-,-,-,-,9674,0.60
2006,-,-,-,-,-,-,9609,0.53
2007,-,-,-,-,-,-,3769,0.57
2008,-,-,-,-,-,-,5723,0.59
2009,-,-,-,-,-,-,14790,0.78
2010,-,-,-,-,-,-,11133,0.47
2011,-,-,-,-,-,-,6186,0.46
2012,-,-,-,-,-,-,10208,0.46
2013,-,-,-,-,-,-,14306,0.58
2014,-,-,-,-,-,-,4040,0.29
2015,-,-,-,-,-,-,9766,0.56
2016,-,-,-,-,-,-,19859,0.52
