"Year","Buffer","OFL","ABC","Removals","Spawning Biomass (mt)","Relative Biomass"
"2019","1","3042.0","2908.0","2908.0","13078","0.391"
"2020","1","2976.0","2845.0","2845.0","12558","0.376"
"2021","0.935","4401.5","4115.4","4115.4","12019","0.360"
"2022","0.93","3935.7","3660.2","3660.2","10799","0.323"
"2023","0.926","3633.9","3365.0","3365.0","10038","0.300"
"2024","0.922","3469.7","3199.0","3199.0","9655","0.289"
"2025","0.917","3402.3","3119.9","3119.9","9523","0.285"
"2026","0.913","3392.0","3096.9","3096.9","9527","0.285"
"2027","0.909","3406.2","3096.3","3096.3","9580","0.287"
"2028","0.904","3425.5","3096.6","3096.6","9635","0.288"
"2029","0.9","3441.7","3097.5","3097.5","9677","0.290"
"2030","0.896","3452.1","3093.1","3093.1","9701","0.290"
"2019","0.892","3042.0","2908.0","2908.0","13078","0.391"
